strategy,description,threshold,n_samples,positive_label,negative_label,accuracy,balanced_accuracy,precision_abnormal,recall_abnormal,specificity_normal,f1_abnormal,roc_auc
balanced_accuracy,A: maximize validation balanced accuracy,0.7615026235580444,790,ABNORMAL,NORMAL,0.879746835443038,0.9104570181731229,0.9955849889624724,0.8290441176470589,0.991869918699187,0.9047141424272819,0.9069150526064083
recall_90,"B: recall >= 0.90, then highest specificity",0.051815371960401535,790,ABNORMAL,NORMAL,0.7962025316455696,0.7328879722620756,0.8207705192629816,0.9007352941176471,0.5650406504065041,0.8588957055214724,0.9069150526064083
recall_95,"C: recall >= 0.95, then highest specificity",0.011954676359891891,790,ABNORMAL,NORMAL,0.7164556962025317,0.574777319464371,0.7240896358543417,0.9503676470588235,0.1991869918699187,0.821939586645469,0.9069150526064083
